,Action_ID,Video_ID,label,place,person,action,is_original,wakati
0,a001,0689C,drinking,部屋,ストライプのパンツを履いている女性,何かを飲んでいる,True,何 か を 飲んで いる
1,a001,0668C,drinking,周りに木がある屋外,左手に腕時計をしてピアスをしている男性,水を飲んでいる,True,水 を 飲んで いる
2,a001,0912X,drinking,色んなものが壁に飾ってある部屋,キャップをかぶって眼鏡をかけた男性,飲み比べをしている,True,飲み 比べ を して いる
3,a001,0337Y,drinking,絵が飾ってある部屋,迷彩柄のティーシャツを着た男性,立って飲み物を飲んでいる,True,立って 飲み物 を 飲んで いる
4,a001,0011Y,drinking,黄色の壁の部屋,眼鏡の男性,飲み物を飲んでいる,True,飲み物 を 飲んで いる
5,a001,0630C,drinking,部屋,黒のトレーナーの男性,紙コップの飲み物を飲んでいる,True,紙 コップ の 飲み物 を 飲んで いる
6,a001,0836C,drinking,部屋,眼鏡の男性,ペットボトルの飲み物を飲んでいる,True,ペットボトル の 飲み物 を 飲んで いる
7,a001,0889X,drinking,テーブルやテレビやソファのある室内,黄緑色の服を着た幼児,椅子に座って牛乳を飲んでいる,True,椅子 に 座って 牛乳 を 飲んで いる
8,a001,0697C,drinking,室内,眼鏡をかけてグレーのダウンを着た男性,ソファに座ってマグカップを口に運んでいる,True,ソファ に 座って マグカップ を 口 に 運んで いる
9,a001,0719C,drinking,部屋,女性,椅子に座ってマグカップで何かを飲んでいる,True,椅子 に 座って マグカップ で 何 か を 飲んで いる
10,a001,0259Y,drinking,屋内,飲み物を飲んでいる男性,横にいるひとと話している,True,横 に いる ひと と 話して いる
11,a001,0566C,drinking,部屋,帽子をかぶった男性,座って飲み物を飲んでいる,True,座って 飲み物 を 飲んで いる
12,a001,0193Y,drinking,屋内,眼鏡の男性,ビールを飲んでいる,True,ビール を 飲んで いる
13,a001,0072Y,drinking,屋内,赤ちゃん,泣いている,True,泣いて いる
14,a001,0100Y,drinking,屋内,蝶ネクタイをした男性,渋い顔をしている,True,渋い 顔 を して いる
15,a001,0652C,drinking,屋外,男性,ペットボトルの水を飲んでいる,True,ペットボトル の 水 を 飲んで いる
16,a001,0664C,drinking,屋外,眼鏡の男性,炭酸水を飲んでいる,True,炭酸 水 を 飲んで いる
17,a001,0061Y,drinking,部屋,黒髪の男性,缶ジュースを飲んでいる,True,缶 ジュース を 飲んで いる
18,a001,0304Y,drinking,レストラン,ジャケットを着た男性,カウンターでスマートフォンを操作している,True,カウンター で スマートフォン を 操作 して いる
19,a001,0378C,drinking,公園,グレーのダッフルコートを着た男性,ベンチに座って缶コーヒーを飲んでいる,True,ベンチ に 座って 缶 コーヒー を 飲んで いる
20,a001,0028Y,drinking,部屋,眼鏡の男性,ジョッキでビールを飲んでいる,True,ジョッキ で ビール を 飲んで いる
21,a001,0936X,drinking,部屋,赤い洋服の男性,お酒を飲んでいる,True,お 酒 を 飲んで いる
22,a001,0121Y,drinking,部屋,黒いティーシャツの男性,コーラを一気飲みしてこぼした,True,コーラ を 一気 飲み して こぼした
23,a001,0902X,drinking,白いドアのある部屋,ひと,飲んでいる,True,飲んで いる
